artist,song,duration_ms,explicit,year,popularity,key,tempo,genre
Britney Spears,Oops!...I Did It Again,211160,FALSE,2000,77,1,95.053,pop
blink-182,All The Small Things,167066,FALSE,1999,79,0,148.726,"rock, pop"
Faith Hill,Breathe,250546,FALSE,1999,66,7,136.859,"pop, country"
Bon Jovi,It's My Life,224493,FALSE,2000,78,0,119.992,"rock, metal"
*NSYNC,Bye Bye Bye,200560,FALSE,2000,65,8,172.656,pop
Sisqo,Thong Song,253733,TRUE,1999,69,2,121.549,"hip hop, pop, R&B"
Eminem,The Real Slim Shady,284200,TRUE,2000,86,5,104.504,hip hop
Robbie Williams,Rock DJ,258560,FALSE,2000,68,7,103.035,"pop, rock"
Destiny's Child,Say My Name,271333,FALSE,1999,75,5,138.009,"pop, R&B"
Modjo,Lady - Hear Me Tonight,307153,FALSE,2001,77,6,126.041,Dance/Electronic
Gigi D'Agostino,L'Amour Toujours,238759,FALSE,2011,1,7,139.066,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,FALSE,1999,56,7,129.962,pop
Bomfunk MC's,Freestyler,306333,FALSE,2000,55,11,163.826,pop
Sting,Desert Rose,285960,FALSE,1999,62,0,111.989,"rock, pop"
Melanie C,Never Be The Same Again,294200,FALSE,1999,61,3,160.067,"pop, Dance/Electronic"
Aaliyah,Try Again,284000,FALSE,2002,53,6,93.02,"hip hop, pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,245400,FALSE,1999,64,10,119.41,pop
Alice Deejay,Better Off Alone,214883,FALSE,2000,73,8,136.953,pop
Gigi D'Agostino,The Riddle,285426,FALSE,1999,64,6,127.002,pop
Dr. Dre,The Next Episode,161506,TRUE,1999,82,10,95.295,hip hop
Linkin Park,In the End,216880,FALSE,2000,83,3,105.143,"rock, metal"
Tom Jones,Sexbomb,211893,FALSE,1999,65,8,122.979,"rock, Folk/Acoustic, easy listening"
Sonique,It Feels So Good,240866,FALSE,2000,62,5,135.012,pop
M.O.P.,Cold as Ice,244466,TRUE,2000,54,11,85.565,hip hop
Melanie C,I Turn To You,352173,FALSE,1999,54,1,135.205,"pop, Dance/Electronic"
Limp Bizkit,Take A Look Around,321040,FALSE,2000,72,11,101.968,metal
Darude,Sandstorm,225493,FALSE,2001,69,11,136.065,"pop, Dance/Electronic"
Da Brat,What'chu Like (feat. Tyrese),221160,TRUE,2000,53,10,99.974,"hip hop, pop, R&B"
Moloko,The Time Is Now,318280,FALSE,2000,54,9,127.962,"pop, Dance/Electronic"
Chicane,Don't Give Up,210786,FALSE,2016,47,10,132.017,Dance/Electronic
DMX,Party Up,268866,TRUE,1999,71,11,201.936,"hip hop, pop"
Debelah Morgan,Dance with Me,220106,FALSE,2000,49,7,115.005,"pop, R&B"
Madonna,Music,225973,FALSE,2000,58,7,119.854,pop
Ruff Endz,No More,242560,FALSE,2000,52,10,97.004,R&B
Britney Spears,Born to Make You Happy,243533,FALSE,1999,58,11,84.11,pop
Montell Jordan,Get It On Tonite,276266,FALSE,1999,59,10,99.008,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,207866,FALSE,2000,55,6,120.043,"pop, Dance/Electronic"
JAY-Z,Big Pimpin',283066,TRUE,1999,69,11,138.083,hip hop
LeAnn Rimes,I Need You,229826,FALSE,2001,61,7,144.705,"pop, country"
Avant,Separated,255600,FALSE,2000,55,0,108.241,"pop, R&B"
